bookKey;bookTitle;year;annoKey;pageLabel;path;position;Column8;pageIndex;Rect;r0;r1;r2;r3
Z7RUGN57;Kurzwellentherapie;1945;MQ4ZQD4V;116;C:\Users\annik\Zotero\storage\TELYJBT2\Buchscan_Z7RUGN57.pdf;"{""pageIndex"":3,""rects"":[[90.711,546.65,307.779,712.009]]}";Buchscan_Z7RUGN57.pdf;3;90.711,546.65,307.779,712.009;90.711;546.65;307.779;712.009
Z7RUGN57;Kurzwellentherapie;1945;S2GTLZRC;116;C:\Users\annik\Zotero\storage\TELYJBT2\Buchscan_Z7RUGN57.pdf;"{""pageIndex"":3,""rects"":[[312.325,546.65,537.35,711.441]]}";Buchscan_Z7RUGN57.pdf;3;312.325,546.65,537.35,711.441;312.325;546.65;537.35;711.441
XGDPIHSB;Topographische Dermatologie: Diagnostik d. Hautkrankheiten verschiedener Körpergegenden;1947;YSRMQCDX;92;C:\Users\annik\Zotero\storage\RNQH9M8M\Buchscan_XGDPIHSB.pdf;"{""pageIndex"":19,""rects"":[[94.313,377.625,297.563,614.625]]}";Buchscan_XGDPIHSB.pdf;19;94.313,377.625,297.563,614.625;94.313;377.625;297.563;614.625
XGDPIHSB;Topographische Dermatologie: Diagnostik d. Hautkrankheiten verschiedener Körpergegenden;1947;ZYZG76PK;92;C:\Users\annik\Zotero\storage\RNQH9M8M\Buchscan_XGDPIHSB.pdf;"{""pageIndex"":19,""rects"":[[313.313,382.125,524.813,611.625]]}";Buchscan_XGDPIHSB.pdf;19;313.313,382.125,524.813,611.625;313.313;382.125;524.813;611.625
XGDPIHSB;Topographische Dermatologie: Diagnostik d. Hautkrankheiten verschiedener Körpergegenden;1947;NDQN23M2;95;C:\Users\annik\Zotero\storage\RNQH9M8M\Buchscan_XGDPIHSB.pdf;"{""pageIndex"":22,""rects"":[[52.313,361.625,262.313,613.625]]}";Buchscan_XGDPIHSB.pdf;22;52.313,361.625,262.313,613.625;52.313;361.625;262.313;613.625
XGDPIHSB;Topographische Dermatologie: Diagnostik d. Hautkrankheiten verschiedener Körpergegenden;1947;JLSQS72J;95;C:\Users\annik\Zotero\storage\RNQH9M8M\Buchscan_XGDPIHSB.pdf;"{""pageIndex"":22,""rects"":[[269.813,362.375,486.563,617.375]]}";Buchscan_XGDPIHSB.pdf;22;269.813,362.375,486.563,617.375;269.813;362.375;486.563;617.375
XGDPIHSB;Topographische Dermatologie: Diagnostik d. Hautkrankheiten verschiedener Körpergegenden;1947;2975ZADR;96;C:\Users\annik\Zotero\storage\RNQH9M8M\Buchscan_XGDPIHSB.pdf;"{""pageIndex"":23,""rects"":[[90.563,348.625,366.563,631.375]]}";Buchscan_XGDPIHSB.pdf;23;90.563,348.625,366.563,631.375;90.563;348.625;366.563;631.375
XGDPIHSB;Topographische Dermatologie: Diagnostik d. Hautkrankheiten verschiedener Körpergegenden;1947;BBNRC4EC;97;C:\Users\annik\Zotero\storage\RNQH9M8M\Buchscan_XGDPIHSB.pdf;"{""pageIndex"":24,""rects"":[[56.813,321.875,485.813,655.625]]}";Buchscan_XGDPIHSB.pdf;24;56.813,321.875,485.813,655.625;56.813;321.875;485.813;655.625
KZ6V77UE;Gesundheit ist dein höchstes Gut: Das Wichtigste aus d. Gesundheitslehre u. Gesundheitspflege f. unsere Mädchen;1949;VUNF6SPZ;47;C:\Users\annik\Zotero\storage\GSC2IC8X\Buchscan_KZ6V77UE.pdf;"{""pageIndex"":1,""rects"":[[21.953,444.366,296.415,677.914]]}";Buchscan_KZ6V77UE.pdf;1;21.953,444.366,296.415,677.914;21.953;444.366;296.415;677.914
9DT96CCM;Die Frau: Ein Gesundheitsbuch;1950;7B6VGP9N;iv;C:\Users\annik\Zotero\storage\SCUGQMW3\Buchscan_9DT96CCM.pdf;"{""pageIndex"":3,""rects"":[[39,445.692,537.35,798.003]]}";Buchscan_9DT96CCM.pdf;3;39,445.692,537.35,798.003;39;445.692;537.35;798.003
9DT96CCM;Die Frau: Ein Gesundheitsbuch;1950;DTUKVADF;80;C:\Users\annik\Zotero\storage\SCUGQMW3\Buchscan_9DT96CCM.pdf;"{""pageIndex"":42,""rects"":[[66.276,513.881,508.938,801.412]]}";Buchscan_9DT96CCM.pdf;42;66.276,513.881,508.938,801.412;66.276;513.881;508.938;801.412
9DT96CCM;Die Frau: Ein Gesundheitsbuch;1950;MEJXWNUY;81;C:\Users\annik\Zotero\storage\SCUGQMW3\Buchscan_9DT96CCM.pdf;"{""pageIndex"":43,""rects"":[[93.317,534.394,542.163,813.048]]}";Buchscan_9DT96CCM.pdf;43;93.317,534.394,542.163,813.048;93.317;534.394;542.163;813.048
9DT96CCM;Die Frau: Ein Gesundheitsbuch;1950;JWQHSG9P;82;C:\Users\annik\Zotero\storage\SCUGQMW3\Buchscan_9DT96CCM.pdf;"{""pageIndex"":44,""rects"":[[59.279,525.202,502.356,809.625]]}";Buchscan_9DT96CCM.pdf;44;59.279,525.202,502.356,809.625;59.279;525.202;502.356;809.625
9DT96CCM;Die Frau: Ein Gesundheitsbuch;1950;VUF8IG44;83;C:\Users\annik\Zotero\storage\SCUGQMW3\Buchscan_9DT96CCM.pdf;"{""pageIndex"":45,""rects"":[[89.279,565.144,537.548,815.817]]}";Buchscan_9DT96CCM.pdf;45;89.279,565.144,537.548,815.817;89.279;565.144;537.548;815.817
9DT96CCM;Die Frau: Ein Gesundheitsbuch;1950;SKFHSD8T;84;C:\Users\annik\Zotero\storage\SCUGQMW3\Buchscan_9DT96CCM.pdf;"{""pageIndex"":46,""rects"":[[60.433,529.606,511.587,796.721]]}";Buchscan_9DT96CCM.pdf;46;60.433,529.606,511.587,796.721;60.433;529.606;511.587;796.721
BUWRS4EI;Operative Gynäkologie;1952;SA63EIRN;60;C:\Users\annik\Zotero\storage\45ZUWAMX\Buchscan_BUWRS4EI.pdf;"{""pageIndex"":4,""rects"":[[103.78,250.264,547.01,619.054]]}";Buchscan_BUWRS4EI.pdf;4;103.78,250.264,547.01,619.054;103.78;250.264;547.01;619.054
BUWRS4EI;Operative Gynäkologie;1952;GU87HBJ5;62;C:\Users\annik\Zotero\storage\45ZUWAMX\Buchscan_BUWRS4EI.pdf;"{""pageIndex"":6,""rects"":[[139.011,299.369,523.712,651.6802899025581]]}";Buchscan_BUWRS4EI.pdf;6;139.011,299.369,523.712,651.6802899025581;139.011;299.369;523.712;651.6802899
BUWRS4EI;Operative Gynäkologie;1952;YDXAMFQP;63;C:\Users\annik\Zotero\storage\45ZUWAMX\Buchscan_BUWRS4EI.pdf;"{""pageIndex"":7,""rects"":[[61.162,293.876,483.935,617.775]]}";Buchscan_BUWRS4EI.pdf;7;61.162,293.876,483.935,617.775;61.162;293.876;483.935;617.775
BUWRS4EI;Operative Gynäkologie;1952;ZFQZ7DZN;66;C:\Users\annik\Zotero\storage\45ZUWAMX\Buchscan_BUWRS4EI.pdf;"{""pageIndex"":10,""rects"":[[86.641,45,582.578,778.281]]}";Buchscan_BUWRS4EI.pdf;10;86.641,45,582.578,778.281;86.641;45;582.578;778.281
BUWRS4EI;Operative Gynäkologie;1952;SHEA99GP;68;C:\Users\annik\Zotero\storage\45ZUWAMX\Buchscan_BUWRS4EI.pdf;"{""pageIndex"":12,""rects"":[[97.102,233.08,544.375,651.034]]}";Buchscan_BUWRS4EI.pdf;12;97.102,233.08,544.375,651.034;97.102;233.08;544.375;651.034
BUWRS4EI;Operative Gynäkologie;1952;ZRHZKGGZ;71;C:\Users\annik\Zotero\storage\45ZUWAMX\Buchscan_BUWRS4EI.pdf;"{""pageIndex"":15,""rects"":[[24.83,61.989,538.239,505.852]]}";Buchscan_BUWRS4EI.pdf;15;24.83,61.989,538.239,505.852;24.83;61.989;538.239;505.852
BUWRS4EI;Operative Gynäkologie;1952;26NGUFA5;72;C:\Users\annik\Zotero\storage\45ZUWAMX\Buchscan_BUWRS4EI.pdf;"{""pageIndex"":16,""rects"":[[103.239,281.852,384.83,676.625]]}";Buchscan_BUWRS4EI.pdf;16;103.239,281.852,384.83,676.625;103.239;281.852;384.83;676.625
BUWRS4EI;Operative Gynäkologie;1952;339TXCI2;73;C:\Users\annik\Zotero\storage\45ZUWAMX\Buchscan_BUWRS4EI.pdf;"{""pageIndex"":17,""rects"":[[294.83,455.807,517.102,718.989]]}";Buchscan_BUWRS4EI.pdf;17;294.83,455.807,517.102,718.989;294.83;455.807;517.102;718.989
BUWRS4EI;Operative Gynäkologie;1952;JH8D3RA8;74;C:\Users\annik\Zotero\storage\45ZUWAMX\Buchscan_BUWRS4EI.pdf;"{""pageIndex"":18,""rects"":[[112.102,235.102,371.875,649.08]]}";Buchscan_BUWRS4EI.pdf;18;112.102,235.102,371.875,649.08;112.102;235.102;371.875;649.08
BUWRS4EI;Operative Gynäkologie;1952;7LMSRPX9;74;C:\Users\annik\Zotero\storage\45ZUWAMX\Buchscan_BUWRS4EI.pdf;"{""pageIndex"":18,""rects"":[[378.011,244.648,548.466,500.33]]}";Buchscan_BUWRS4EI.pdf;18;378.011,244.648,548.466,500.33;378.011;244.648;548.466;500.33
4XIVZXJI;Vom Knaben zum Mann: Ein Arzt berät die männliche Jugend;1953;2Q4P9KNJ;19;C:\Users\annik\Zotero\storage\ST6WYHIW\Buchscan_4XIVZXJI.pdf;"{""pageIndex"":7,""rects"":[[82.755,90.114,452.682,400.375]]}";Buchscan_4XIVZXJI.pdf;7;82.755,90.114,452.682,400.375;82.755;90.114;452.682;400.375
UMTFJ8TG;Wie soll ich mein Kind aufklären?;1956;9NTTS289;47;C:\Users\annik\Zotero\storage\3CPKFMMF\Buchscan_UMTFJ8TG.pdf;"{""pageIndex"":6,""rects"":[[99.234,291.509,487.344,609.157]]}";Buchscan_UMTFJ8TG.pdf;6;99.234,291.509,487.344,609.157;99.234;291.509;487.344;609.157
UMTFJ8TG;Wie soll ich mein Kind aufklären?;1956;6AMZDHMH;55;C:\Users\annik\Zotero\storage\3CPKFMMF\Buchscan_UMTFJ8TG.pdf;"{""pageIndex"":14,""rects"":[[88.438,486.984,514.052,804.632]]}";Buchscan_UMTFJ8TG.pdf;14;88.438,486.984,514.052,804.632;88.438;486.984;514.052;804.632
UMTFJ8TG;Wie soll ich mein Kind aufklären?;1956;2YYI7HQG;56;C:\Users\annik\Zotero\storage\3CPKFMMF\Buchscan_UMTFJ8TG.pdf;"{""pageIndex"":15,""rects"":[[95.257,484.711,487.913,801.791]]}";Buchscan_UMTFJ8TG.pdf;15;95.257,484.711,487.913,801.791;95.257;484.711;487.913;801.791
