"   zus: Bei der Frau
 lemma: werden
 narg1: der Geschlechtshöcker
 narg2: zur Klitoris",,"



kli (""Klitoris"")",,27.05.2025 23:00:23 CEST,1,C8FJ558Z,2575YNWY,275,01A
" lemma: haben
 narg1: der M. ischiocavernosus
 narg2: eine Sonderaufgabe für den Schwellkörper des Penis bzw. der Klitoris",,"


cac (""Schwellkörper des Penis bzw. der Klitoris"")",,27.05.2025 23:00:23 CEST,2,C8FJ558Z,2QF72USH,322,01A
" lemma: auf dem Bulbus vestibuli liegen
  narg: das","

bildet ein plattes Muskelband <- M. bulbocavernosus","
bul (""Bulbus vestibuli"")
",,27.05.2025 23:00:23 CEST,3,C8FJ558Z,3LH4FBVU,325,01A
" lemma: mit einer Hautfalte , Praeputium clitoridis umgeben
 narg1: Die letzten
 narg2: die Klitoris","

kleinen Schamlippen
","
pra (""Praeputium clitoridis"")

gla (""Klitoris"")",,27.05.2025 23:00:24 CEST,4,C8FJ558Z,5AARTLLG,321,01A
" lemma: ,
 narg1: einer Hautfalte
 narg2: Praeputium clitoridis",,"

pra (""Hautfalte"")
pra",,27.05.2025 23:00:24 CEST,4,C8FJ558Z,5AARTLLG,321,02A
" lemma: .
 narg1: Unterhalb der Klitoris
 narg2: das Orificium urethrae ext",,"

gla (""Klitoris"")
",,27.05.2025 23:00:24 CEST,4,C8FJ558Z,5AARTLLG,321,03A
" lemma: liegen
  narg: die Schwellkörper , Bulbi vestibuli",,"

bul (""Bulbi vestibuli"")",,27.05.2025 23:00:24 CEST,4,C8FJ558Z,5AARTLLG,321,04A
" lemma: liegen
  narg: die Schwellkörper , Bulbi vestibuli
 pspez: Hier",,"

bul (""Bulbi vestibuli"")
",,27.05.2025 23:00:24 CEST,4,C8FJ558Z,5AARTLLG,321,04B
" lemma: ,
 narg1: die Schwellkörper
 narg2: Bulbi vestibuli",,"

bul (""Schwellkörper"")
bul",,27.05.2025 23:00:24 CEST,4,C8FJ558Z,5AARTLLG,321,05A
" lemma: auch ansetzen
 narg1: an den
 narg2: Fasern","

des bedeckten Schwellkörpers (""den"")
",,,27.05.2025 23:00:24 CEST,5,C8FJ558Z,99Y5GLZ5,325,01A
" lemma: unbekannt sein
  narg: Inwieweit er den Füllungszustand des bedeckten Schwellkörpers beeinflußt","

Der Muskel { M. bulbocavernosus } (""er"")","

bul (""Schwellkörpers"")",,27.05.2025 23:00:24 CEST,5,C8FJ558Z,99Y5GLZ5,325,02A
" lemma: verlaufen
 narg1: das
 narg2: unter der Vena dorsalis penis ( bzw. clitoridis ) subfascialis","

Lig .
praeurethrale
","


ven (""Vena dorsalis penis ( bzw. clitoridis )"")",,27.05.2025 23:00:24 CEST,6,C8FJ558Z,AIAWGWBX,324f,01A
" lemma: verlaufen
 narg1: das
 narg2: unter der Vena dorsalis penis ( bzw. clitoridis ) subfascialis
pspez1: in bogenförmigem Verlauf","

Lig .
praeurethrale

","


ven (""Vena dorsalis penis ( bzw. clitoridis )"")
",,27.05.2025 23:00:24 CEST,6,C8FJ558Z,AIAWGWBX,324f,01B
" lemma: verlaufen
 narg1: das
 narg2: unter der Vena dorsalis penis ( bzw. clitoridis ) subfascialis
pspez1: am unteren Symphysenrand","

Lig .
praeurethrale

","


ven (""Vena dorsalis penis ( bzw. clitoridis )"")
",,27.05.2025 23:00:24 CEST,6,C8FJ558Z,AIAWGWBX,324f,01C
" lemma: ein Analogon des Penis darstellen
  narg: die","

Klitoris",,,27.05.2025 23:00:25 CEST,7,C8FJ558Z,BJRL5U9T,319,01A
" lemma: erektilist
  narg: die","

Klitoris",,,27.05.2025 23:00:25 CEST,7,C8FJ558Z,BJRL5U9T,319,02A
" lemma: aufgehängt werden
  narg: Klitoris",,"

kli",,27.05.2025 23:00:25 CEST,7,C8FJ558Z,BJRL5U9T,319,03A
" lemma: aufgehängt werden
  narg: Klitoris
pspez1: am unteren Symphysenrand",,"

kli
",,27.05.2025 23:00:25 CEST,7,C8FJ558Z,BJRL5U9T,319,03B
" lemma: aufgehängt werden
  narg: Klitoris
pspez1: durch das Lig .
suspensorium clitoridis",,"

kli
lig (""Lig .
suspensorium clitoridis"")",,27.05.2025 23:00:25 CEST,7,C8FJ558Z,BJRL5U9T,319,03C
